href,name,price,price_per_unit,size
https://www.compraonline.bonpreuesclat.cat/products/garofalo-galets/52234,GAROFALO Galets,"2,95 €","(5,90 € per quilo)","0.5kg(5,90 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/el-pavo-plaques-per-canelons/21379,EL PAVO Plaques per canelons,"1,59 €","(12,72 € per quilo)","0.125kg(12,72 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/4-hect%C3%A1reas-macarrons-de-farina-d-espelta-ecol%C3%B2gics/65368,4 HECTÁREAS Macarrons de farina d'espelta ecològics,"2,25 €","(9,00 € per quilo)","0.25kg(9,00 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/de-cecco-espaguetis-integrals-n%C2%BA12/43512,DE CECCO Espaguetis integrals nº12,"2,59 €","(5,18 € per quilo)","0.5kg(5,18 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/bonpreu-espaguetis-a-l-ou/33178,BONPREU Espaguetis a l'ou,"1,39 €","(2,78 € per quilo)","0.5kg(2,78 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/barilla-pasta-nyoquis/98044,BARILLA Pasta nyoquis,"1,69 €","(3,38 € per quilo)","0.5kg(3,38 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/gallo-plaques-per-a-lasanya-i-canelons-sense-gluten/52823,GALLO Plaques per a lasanya i canelons sense gluten,"2,81 €","(11,24 € per quilo)","0.25kg(11,24 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/ifa-sopa-de-pollastre/90398,IFA Sopa de pollastre,"0,49 €","(6,13 € per quilo)","0.08kg(6,13 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/odinea-espaguetis-de-llenties-vermelles-ecol%C3%B2gics/22479,ODINEA Espaguetis de llenties vermelles ecològics,"3,55 €","(14,20 € per quilo)","0.25kg(14,20 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/4-hect%C3%A1reas-espaguetis-d-espelta-ecol%C3%B2gics/67151,4 HECTÁREAS Espaguetis d'espelta ecològics,"2,35 €","(9,40 € per quilo)","0.25kg(9,40 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/berruto-pasta-fusilli-sense-gluten/18061,BERRUTO Pasta Fusilli sense gluten,"1,65 €","(4,13 € per quilo)","0.4kg(4,13 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/ifa-sopa-d-au-amb-fideus/90397,IFA Sopa d'au amb fideus,"0,49 €","(6,13 € per quilo)","0.08kg(6,13 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/odinea-espaguetis-de-p%C3%A8sols-ecol%C3%B2gics/22474,ODINEA Espaguetis de pèsols ecològics,"3,55 €","(14,20 € per quilo)","0.25kg(14,20 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/4-hect%C3%A1reas-tallarines-de-farina-d-espelta-ecol%C3%B2gica/67132,4 HECTÁREAS Tallarines de farina d'espelta ecològica,"3,35 €","(13,40 € per quilo)","0.25kg(13,40 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/gallo-fideus-perla/61201,GALLO Fideus perla,"1,39 €","(3,09 € per quilo)","0.45kg(3,09 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/san-marti-macarrons-km0/15855,SAN MARTI Macarrons Km0,"1,85 €","(7,40 € per quilo)","0.25kg(7,40 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/garofalo-canelons/16507,GAROFALO Canelons,"2,19 €","(8,76 € per quilo)","0.25kg(8,76 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/san-marti-pasta-de-galets-km0/15879,SAN MARTI Pasta de galets Km0,"1,85 €","(7,40 € per quilo)","0.25kg(7,40 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/san-mart%C3%AD-pasta-de-fideus-n%C2%BA2-km0/33164,SAN MARTÍ Pasta de fideus nº2 Km0,"1,85 €","(7,40 € per quilo)","0.25kg(7,40 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/san-marti-pasta-de-pistons-llisos-km0/15873,SAN MARTI Pasta de pistons llisos Km0,"1,85 €","(7,40 € per quilo)","0.25kg(7,40 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/san-marti-pasta-meravella-km0/15870,SAN MARTI Pasta meravella Km0,"1,85 €","(7,40 € per quilo)","0.25kg(7,40 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/san-marti-pasta-d-espirals-vegetals-km0/33173,SAN MARTI Pasta d'espirals vegetals Km0,"2,09 €","(8,36 € per quilo)","0.25kg(8,36 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/gallo-espirals-amb-vegetals/90033,GALLO Espirals amb vegetals,"1,00 €","(2,50 € per quilo)","0.4kg(2,50 € per quilo)"
