href,name,price,price_per_unit,size
https://www.compraonline.bonpreuesclat.cat/products/bonpreu-arr%C3%B2s-basmati-integral-ecol%C3%B2gic/85330,BONPREU Arròs basmati integral ecològic,"2,35 €","(4,70 € per quilo)","0.5kg(4,70 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/nomen-arr%C3%B2s-integral-amb-quinoa/66233,NOMEN Arròs integral amb quinoa,"1,95 €","(6,96 € per quilo)","2 x 0.14kg(6,96 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/tilda-arr%C3%B2s-thai-jasmine/51482,TILDA Arròs Thai Jasmine,"3,49 €","(3,49 € per quilo)","1kg(3,49 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/tilda-arr%C3%B2s-especial-sushi/20591,TILDA Arròs especial sushi,"1,90 €","(3,80 € per quilo)","0.5kg(3,80 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/avi-trias-arr%C3%B2s-integral-de-pals-km0/13784,AVI TRIAS Arròs integral de Pals Km0,"3,19 €","(3,19 € per quilo)","1kg(3,19 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/nomen-blat-tendre/80393,NOMEN Blat tendre,"2,99 €","(5,98 € per quilo)","0.5kg(5,98 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/brillante-arr%C3%B2s-vaporitzat/01084,BRILLANTE Arròs vaporitzat,"1,98 €","(1,98 € per quilo)","1kg(1,98 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/nomen-arr%C3%B2s-basmati-xl/65629,NOMEN Arròs basmati XL,"2,29 €","(5,73 € per quilo)","2 x 0.2kg(5,73 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/bonpreu-barreja-d-arrossos-ecol%C3%B2gics/81805,BONPREU Barreja d'arrossos ecològics,"3,29 €","(8,23 € per quilo)","0.4kg(8,23 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/nomen-arr%C3%B2s-paella/92771,NOMEN Arròs paella,"4,99 €","(4,99 € per quilo)","1kg(4,99 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/tilda-arr%C3%B2s-basmati-integral/06396,TILDA Arròs basmati integral,"3,95 €","(3,95 € per quilo)","1kg(3,95 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/nomen-arr%C3%B2s-bomba-cald%C3%B3s/02682,NOMEN Arròs bomba caldós,"5,99 €","(5,99 € per quilo)","1kg(5,99 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/illa-de-buda-arr%C3%B2s-marisma-extra/05832,ILLA DE BUDA Arròs marisma extra,"3,95 €","(3,95 € per quilo)","1kg(3,95 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/scotti-arr%C3%B2s-negre-venere/11078,SCOTTI Arròs negre Venere,"2,95 €","(5,90 € per quilo)","0.5kg(5,90 € per quilo)"
