href,name,price,price_per_unit,size
https://www.compraonline.bonpreuesclat.cat/products/rana-raviolis-t%C3%B2fona-blanca-bolets-i-formatge/07783,"RANA Raviolis tòfona blanca,bolets i formatge","4,26 €","(17,04 € per quilo)","0.25kg(17,04 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/rana-raviolis-farcits-de-pera-i-formatge/26456,RANA Raviolis farcits de pera i formatge,"4,26 €","(17,04 € per quilo)","0.25kg(17,04 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/rana-raviolis-farcits-de-formatge-de-cabra-i-ceba-caramel-litzada/51602,RANA Raviolis farcits de formatge de cabra i ceba caramel·litzada,"4,26 €","(17,04 € per quilo)","0.25kg(17,04 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/bonpreu-raviolis-farcits-de-pernil/71205,BONPREU Raviolis farcits de pernil,"1,89 €","(7,56 € per quilo)","0.25kg(7,56 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/garofalo-mezzelune-farcit-de-pernil-i-parmes%C3%A0/50695,GAROFALO Mezzelune farcit de pernil i parmesà,"3,25 €","(14,13 € per quilo)","0.23kg(14,13 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/bonpreu-gira-sols-farcits-de-bolets-i-t%C3%B2fona/71150,BONPREU Gira-sols farcits de bolets i tòfona,"2,15 €","(8,60 € per quilo)","0.25kg(8,60 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/cerelia-base-de-pasta-de-full-sense-gluten/45846,CERELIA Base de Pasta de Full sense gluten,"2,79 €","(9,96 € per quilo)","0.28kg(9,96 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/buitoni-base-per-a-minipizza/85985,BUITONI Base per a MiniPizza,"1,88 €","(0,24 € per article)","8 x 1 per paquet(0,24 € per article)"
https://www.compraonline.bonpreuesclat.cat/products/rana-raviolis-de-carxofes-i-pernil-ib%C3%A8ric/75416,RANA Raviolis de carxofes i pernil ibèric,"4,26 €","(17,04 € per quilo)","0.25kg(17,04 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/rana-raviolis-farcits-de-gorgonzola-i-nous/82599,RANA Raviolis farcits de gorgonzola i nous,"4,26 €","(17,04 € per quilo)","0.25kg(17,04 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/garofalo-mezzelune-farcit-de-vedella-i-merlot/96466,GAROFALO Mezzelune farcit de vedella i merlot,"3,25 €","(14,13 € per quilo)","0.23kg(14,13 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/garofalo-mezzelune-farcit-de-bolets-i-t%C3%B2fona/96504,GAROFALO Mezzelune farcit de bolets i tòfona,"3,25 €","(14,13 € per quilo)","0.23kg(14,13 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/bonpreu-espaguetis-a-l-ou/05875,BONPREU Espaguetis a l'ou,"1,19 €","(4,76 € per quilo)","0.25kg(4,76 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/rana-tallarines-tagliatelle-amb-ou/82248,RANA Tallarines Tagliatelle amb ou,"2,36 €","(9,44 € per quilo)","0.25kg(9,44 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/garofalo-ravioli-farcit-de-carbassa/75580,GAROFALO Ravioli farcit de carbassa,"3,25 €","(14,13 € per quilo)","0.23kg(14,13 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/sch%C3%A4r-gnocchi-sense-gluten/17590,SCHÄR Gnocchi sense gluten,"3,99 €","(13,30 € per quilo)","0.3kg(13,30 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/rana-espaguetis-amb-ou/82253,RANA Espaguetis amb ou,"2,36 €","(9,44 € per quilo)","0.25kg(9,44 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/bonpreu-gira-sols-farcits-de-gorgonzola-i-nous/71240,BONPREU Gira-sols farcits de gorgonzola i nous,"2,15 €","(8,60 € per quilo)","0.25kg(8,60 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/casa-tarradellas-base-de-pasta-de-full-amb-mantega/26874,CASA TARRADELLAS Base de Pasta de Full amb mantega,"1,95 €","(7,50 € per quilo)","0.26kg(7,50 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/la-napolitana-massa-per-a-crestes/56952,LA NAPOLITANA Massa per a crestes,"2,29 €","(5,45 € per quilo)","0.42kg(5,45 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/buitoni-massa-per-a-crestes-argentines/75107,BUITONI Massa per a crestes argentines,"2,29 €","(6,54 € per quilo)","0.35kg(6,54 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/buitoni-base-de-pasta-de-full-rodona/40981,BUITONI Base de pasta de full rodona,"1,99 €","(8,65 € per quilo)","0.23kg(8,65 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/buitoni-base-per-empanada/15667,BUITONI Base per  Empanada,"2,89 €","(10,32 € per quilo)","0.28kg(10,32 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/jr-base-de-full-de-brick-en-rull/35110,JR Base de Full de Brick en rull,"1,99 €","(11,06 € per quilo)","0.18kg(11,06 € per quilo)"
