name,price (€),price_per_kg
BONPREU Base fina i rodona per a Pizza,,
BONPREU Nyoquis de patata,,
BONPREU Base rodona per a Pizza,,
BUITONI Base per a pizza Finíssima Maxi rectangular,,
BONPREU Raviolis farcits de carn,,
BUITONI Base de pasta de full rectangular,,
BONPREU Raviolis farcits d'espinacs i ricotta,,
BONPREU Tallarines a l'ou,,
RANA Raviolis  de ricotta i espinacs,,
BUITONI Base de pasta brisa rodona,,
CASA TARRADELLAS Base fina i rectangular per a Pizza familiar,,
RANA Raviolis farcits de crema carbassa i ceba,,
CASA TARRADELLAS Base rodona per a Pizza,,
BONPREU Base rodona de Pasta de Full,,
CASA TARRADELLAS Base quadrada de Pasta de Full,,
CASA TARRADELLAS Base per a Pizza 5 cereals,,
BONPREU Raviolis farcits de formatges,,
RANA Raviolis de galta de vedella,,
BONPREU Gira-sols farcits formatge de cabra i ceba,,
RANA Raviolis farcits de bolets,,
CASA TARRADELLAS Base quadrada per Empanada,,
BUITONI Massa per a crestes i postres,,
CERELIA Base per a Pizza sense gluten,,
RANA Tallarines fresques amb ou i espinacs,,
BUITONI Massa per crestes i postres,,
"RANA Raviolis tòfona blanca,bolets i formatge",,
RANA Raviolis farcits de pera i formatge,,
RANA Raviolis farcits de formatge de cabra i ceba caramel·litzada,,
BONPREU Raviolis farcits de pernil,,
GAROFALO Mezzelune farcit de pernil i parmesà,,
BONPREU Gira-sols farcits de bolets i tòfona,,
CERELIA Base de Pasta de Full sense gluten,,
RANA Raviolis de carxofes i pernil ibèric,,
RANA Raviolis farcits de gorgonzola i nous,,
GAROFALO Mezzelune farcit de vedella i merlot,,
GAROFALO Mezzelune farcit de bolets i tòfona,,
BONPREU Espaguetis a l'ou,,
RANA Tallarines Tagliatelle amb ou,,
GAROFALO Ravioli farcit de carbassa,,
SCHÄR Gnocchi sense gluten,,
RANA Espaguetis amb ou,,
BONPREU Gira-sols farcits de gorgonzola i nous,,
CASA TARRADELLAS Base de Pasta de Full amb mantega,,
LA NAPOLITANA Massa per a crestes,,
BUITONI Massa per a crestes argentines,,
BUITONI Base de pasta de full rodona,,
BUITONI Base per  Empanada,,
JR Base de Full de Brick en rull,,
BONPREU Llaços amb vegetals,,
GALLO Espirals amb vegetals,,
GAROFALO Pasta Primavera,,
BONPREU Macarrons gruixuts,,
BARILLA Espaguetis Nº5,,
BONPREU Fideus gruixuts,,
GALLO Tallarines,,
BONPREU Macarrons integrals ecològics Km0,,
BONPREU Espaguetis integrals ecològics Km0,,
BONPREU Fideus per fideuada,,
BONPREU Fideus cabell d'àngel,,
GALLO Pasta fina amb tomàquet i espinacs,,
BONPREU Galets mitjans,,
GALLO Macarrons Nº3,,
BONPREU Pasta pistons,,
BONPREU Pasta integral espirals ecològica Km0,,
BONPREU Pasta d'estrelles,,
BONPREU Pasta meravella Km0,,
GALLO Margarides amb vegetals,,
GAROFALO Pasta Radiatori,,
BONPREU Galets petits Km0,,
BONPREU Pasta de lletres Km0,,
BONPREU Pasta pinyons Km0,,
BONPREU Macarrons ecològics Km0,,
BONPREU Espirals,,
DE CECCO Macarrons Nº41,,
BONPREU Pasta petxines Km0,,
GALLO Espaguetis Nº3,,
DE CECCO Pasta Rigatoni Nº24,,
GALLO Espirals vegetals sense gluten,,
DE CECCO Espirals Nº34,,
GALLO Macarrons sense gluten,,
GALLO Llaços amb vegetals,,
BONPREU Macarrons amb vegetals,,
GALLO Fideus Nº2,,
DE CECCO Pasta espaguetis Nº11,,
GAROFALO Pasta pappardelle,,
BONPREU Pasta alimentària per a fideuà Km0,,
GALLO Fideus Nº4,,
EL PAVO Pasta per lasanya,,
BONPREU Espaguetis ecològics,,
GALLO Galets Nº0,,
BARILLA Tallarines Nº13 Bavette,,
BERRUTO Pasta Penne Rigate,,
DE CECCO Pasta Linguine Nº7,,
GALLO Fideus per fideuà,,
GALLO NATURE Espirals de pasta de colors,,
HETHSTIA Noodles Konjac,,
GALLO Espaguetis sense gluten,,
BERRUTO Pasta Fusilli,,
GALLO Fideus cabell d'àngel Nº0,,
GALLO Pasta pinyons,,
BONPREU Margarides vegetals Km0,,
BONPREU Macarrons a l'ou,,
DALLA COSTA Pasta de blat de fajol Tubetti,,
GAROFALO Pasta Casarecce,,
BERRUTO Pasta integral Penne Rigate,,
BONPREU Fideus cabell d'àngel Km0,,
SOUBRY Fideus d'ou instantànis,,
BONPREU Pasta pistons Km0,,
GALLO Macarrons Nº6,,
BERRUTO Espaguetis,,
GALLO Fideus sense gluten,,
SHIKOU Noodles de ramen fresc,,
BONPREU Galets ecològics Km0,,
GALLO Espaguetis Nº3,,
GAROFALO Espaguetis amb tinta de sèpia,,
GALLO Pasta pistons mitjans,,
BERRUTO Espaguetis sense gluten,,
DE CECCO Macarrons integrals,,
BONPREU Fideus cabell d'àngel ecològics Km0,,
BONPREU Pasta cabell d'àngel integral ecològica Km0,,
BERRUTO Espaguetis integrals,,
GALLO Pasta meravella,,
GALLO Pasta taurons sense gluten,,
GAROFALO Pasta Fusilli Lunghi,,
GALLO Nyoquis de patata,,
GAROFALO Galets,,
EL PAVO Plaques per canelons,,
4 HECTÁREAS Macarrons de farina d'espelta ecològics,,
DE CECCO Espaguetis integrals nº12,,
BONPREU Espaguetis a l'ou,,
BARILLA Pasta nyoquis,,
GALLO Plaques per a lasanya i canelons sense gluten,,
IFA Sopa de pollastre,,
ODINEA Espaguetis de llenties vermelles ecològics,,
4 HECTÁREAS Espaguetis d'espelta ecològics,,
BERRUTO Pasta Fusilli sense gluten,,
IFA Sopa d'au amb fideus,,
ODINEA Espaguetis de pèsols ecològics,,
4 HECTÁREAS Tallarines de farina d'espelta ecològica,,
GALLO Fideus perla,,
SAN MARTI Macarrons Km0,,
GAROFALO Canelons,,
SAN MARTI Pasta de galets Km0,,
SAN MARTÍ Pasta de fideus nº2 Km0,,
SAN MARTI Pasta de pistons llisos Km0,,
SAN MARTI Pasta meravella Km0,,
SAN MARTI Pasta d'espirals vegetals Km0,,
GALLO Espirals amb vegetals,,
BUITONI Base per a MiniPizza,,
HELLMANN'S Maionesa,,
HELLMANN'S Maionesa,,
HELLMANN'S Maionesa,,
EL PAVO Plaques per canelons,,
