name,price (€),price_per_kg
Arroz basmati Brillante vaso 2 x 125 g,1.38,5.52
Plumas sin gluten Gallo bolsa 450 g,2.49,5.53
Fideos sin gluten Gallo bolsa 450 g,2.49,5.53
Garbanzos cocidos Legumbres La Asturiana frasco 210 g,1.2,5.71
Arroz redondo tradicional Brillante vaso 400 g,2.35,5.88
Pasta tagliatelle nido Garofalo bolsa 500 g,2.95,5.9
Arroz bomba Arrozona de Dia paquete 500 g,2.95,5.9
Arroz integral con quinoa Brillante vaso 2 x 125 g,1.49,5.96
Arroz bomba La fallera paquete 1 Kg,6.05,6.05
Arroz basmati Brillante vaso 400 g,2.43,6.08
Lentejas rojas peladas Luengo caja 400 g,2.49,6.23
Espirales 100% de lenteja roja Al Diante Dia bolsa 250 g,1.65,6.6
Pasta fresca rellena media luna de quesos Selección Mundial de Dia bolsa 250 g,1.89,7.56
Pasta fresca rellena Gran Tortello de prosciutto Selección Mundial de Dia bolsa 250 g,1.89,7.56
Pasta fresca rellena Gran Tortello de carne Selección Mundial de Dia bolsa 250 g,1.89,7.56
Espaguetis con tinta de calamar La molisana bolsa 500 g,3.79,7.58
Tortelloni de queso Gallo bolsa 200 g,1.59,7.95
Tortelloni de carne Gallo bolsa 200 g,1.59,7.95
Hélices 100% de garbanzo Gallo bolsa 250 g,1.99,7.96
Hélices 100% de lenteja roja Gallo bolsa 250 g,1.99,7.96
Placas para lasaña El pavo caja 200 g,1.65,8.25
Placas para canelones El pavo caja 125 g,1.35,10.8
Pasta fresca rellena con setas del bosque Gallo bandeja 250 g,2.96,11.84
Pasta fresca rellena con ternera gallega Gallo bandeja 250 g,2.96,11.84
Placas para canelones precocidas El pavo caja 125 g,1.59,12.72
Soja texturizada Luengo bolsa 200 g,2.7,13.5
